task,model,feature,importance
late_delivery_risk,GradientBoostingClassifier,lag_1,0.004032145779028795
late_delivery_risk,GradientBoostingClassifier,rolling_max_28,0.003950858107528442
late_delivery_risk,GradientBoostingClassifier,region_category_cv,0.003109606207393442
late_delivery_risk,GradientBoostingClassifier,lag_28,0.0025177343867249413
late_delivery_risk,GradientBoostingClassifier,lag_14,0.0024882840490228608
late_delivery_risk,GradientBoostingClassifier,expanding_mean,0.002399128916058943
late_delivery_risk,GradientBoostingClassifier,region_category_avg_volume,0.0023770389975931797
late_delivery_risk,GradientBoostingClassifier,rolling_min_28,0.0016798252196058919
late_delivery_risk,GradientBoostingClassifier,peak_ratio_30d,0.001248754586147003
late_delivery_risk,GradientBoostingClassifier,od_lane_volume_rank,0.0011499246292987501
late_delivery_risk,GradientBoostingClassifier,is_month_start,0.0008549215154359978
late_delivery_risk,HistGradientBoostingClassifier,nearest_hub_distance_km,0.0
late_delivery_risk,HistGradientBoostingClassifier,od_lane_volume_rank,0.0
late_delivery_risk,HistGradientBoostingClassifier,top_category_share_by_region,0.0
late_delivery_risk,HistGradientBoostingClassifier,category_entropy_by_region,0.0
late_delivery_risk,HistGradientBoostingClassifier,above_rolling_mean_flag,0.0
late_delivery_risk,HistGradientBoostingClassifier,peak_ratio_30d,0.0
late_delivery_risk,HistGradientBoostingClassifier,ewma_14,0.0
late_delivery_risk,HistGradientBoostingClassifier,ewma_7,0.0
late_delivery_risk,HistGradientBoostingClassifier,expanding_mean,0.0
late_delivery_risk,HistGradientBoostingClassifier,rolling_min_28,0.0
late_delivery_risk,HistGradientBoostingClassifier,rolling_max_28,0.0
late_delivery_risk,HistGradientBoostingClassifier,rolling_std_7,0.0
late_delivery_risk,HistGradientBoostingClassifier,rolling_mean_14,0.0
late_delivery_risk,HistGradientBoostingClassifier,rolling_mean_7,0.0
late_delivery_risk,HistGradientBoostingClassifier,lag_28,0.0
late_delivery_risk,HistGradientBoostingClassifier,lag_14,0.0
late_delivery_risk,HistGradientBoostingClassifier,lag_7,0.0
late_delivery_risk,HistGradientBoostingClassifier,lag_1,0.0
late_delivery_risk,HistGradientBoostingClassifier,region_category_cv,0.0
late_delivery_risk,HistGradientBoostingClassifier,region_category_avg_volume,0.0
